@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q107670236,Batmunkh Battsetseg->N. Enkhtaivan,Q23217246,Minister of Foreign Affairs,2021-01-29,,Q107670236-FD5A07D3-E776-4FC4-89AF-21B1D79664FA
->,Q25632960,Boldyn Javkhlan->Ch. Khurelbaatar,Q110167841,Minister of Finance,2021-01-29,,Q25632960-B8EA07DD-F95B-4EE4-BC76-2FAF3EE99DF5
+++,,Davaajantsangiin Sarangerel,,Minister of Environment and Tourism,,,
---,Q24174849,Enkh-Amgalan Luvsantseren,Q110167576,"Minister of Education, Culture, and Science",2021-01-29,,Q24174849-A26D9EA4-FDB0-4961-AB79-F7D8AD7F0092
---,Q110168509,Enkhbold Sereejav,Q110167579,Minister of Health of Mongolia,2021-01-29,,Q110168509-E2476DCD-FCBC-42E9-A2D6-68611C0BE462
+++,,Lkhagvyn Tsedevsuren,,Minister of Education and Science,,,
+++,,Luvsannamsrain Oyun-Erdene,,Cabinet Secretary,,,
->,Q25632553,Nomin Chinbat->S. Chuluun,Q110168317,Minister of Culture,2021-01-29,,Q25632553-5928EE40-821B-4A73-B78C-620A21ED01FE
---,Q110167787,Nyamjav Urtnasan,Q110167773,"Minister of Nature, Environment and Tourism",2021-01-29,,Q110167787-CB35B582-19D6-4248-9392-8948AEE837CC
---,Q24248226,Oyunerdene Luvsannamsrai,Q903751,Prime Minister of Mongolia,2021-01-27,,Q24248226-728cc129-40be-be38-21a5-dcc17307d90b
---,Q110168680,Sainbuyan Amarsaikhan,Q110167634,Deputy Prime Minister of Mongolia,2021-01-29,,Q110168680-8B059C4C-677D-4193-9AA7-D561EED10CCB
+++,,T. Munkhsaikhan,,Minister of Health,,,
---,Q7849526,Tsendiin Nyamdorj,Q110167704,Chief Cabinet Secretary,2021-01-29,,Q7849526-41DBF8D7-1EF2-4E6D-8C85-FC12CF1D0579
+++,,Ya. Sodbaatar,,Deputy Prime Minister,,,
---,Q81065,Zandaakhüügiin Enkhbold,Q110168196,Head of President's Office of Mongolia,2017-07-10,,Q81065-D3CC762F-E94D-4D64-A672-97709FAEF6E2
