position,person,personID,start,end
Member of the State Great Khural,Battogtokh Choijilsuren,Q30951223,2008,
Member of the State Great Khural,Jalbasürengiin Batzandan,Q47668202,2012,2016
Member of the State Great Khural,Нямтайширийн Номтойбаяр,Q20611540,2012-06-28,2016-06-28
Member of the State Great Khural,Jalbasürengiin Batzandan,Q47668202,2016,
Member of the State Great Khural,Ёндонпэрэнлэйн Баатарбилэг,Q110168270,2016-07-05,
Member of the State Great Khural,Jamiyan Munkhbat,Q16905174,2016-07-05,
