id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q756265,President of Mongolia,Q711,Q711,,Q722790,1992-09-03,,,,President of Mongolia
Q903751,Prime Minister of Mongolia,Q711,Q711,,Q3875141,1912-11,,,,Prime Minister of Mongolia
Q110167634,Deputy Prime Minister of Mongolia,Q711,Q711,,,,,,,
Q110168486,Minister of Construction and Urban Development,Q711,Q711,,,,,,,
Q110168317,Minister of Culture,Q711,Q711,,,,,,,
Q110167963,Minister of Defense of Mongolia,,Q711,,,,,,,
Q110167576,"Minister of Education, Culture, and Science",,Q711,,,,,,,
Q110167867,Minister of Energy,Q711,Q711,,,,,,,
Q110167841,Minister of Finance,Q711,Q711,,,,,,,
Q110168504,"Minister of Food, Agriculture and Light Industry",Q711,Q711,,,,,,,
Q23217246,Minister of Foreign Affairs,Q711,,,,,,,,Ministry of Foreign Affairs (Mongolia)
Q110167579,Minister of Health of Mongolia,Q711,Q711,,,,,,,
Q110167829,Minister of Industry and Trade,Q711,Q711,,,,,,,
Q110167937,Minister of Justice and Internal Affairs,,Q711,,,,,,,
Q110168499,Minister of Labour and Social Welfare,Q711,Q711,,,,,,,
Q110168513,Minister of Mining and Heavy Industry,Q711,Q711,,,,,,,
Q110167773,"Minister of Nature, Environment and Tourism",Q711,Q711,,,,,,,
Q110168495,Minister of Road and Transport Development,Q711,Q711,,,,,,,
Q110167704,Chief Cabinet Secretary,Q711,Q711,,,,,,,
Q110168196,Head of President's Office of Mongolia,Q711,Q711,,,,,,,
Q110167911,Speaker of the State Great Khural,,,,,,,,,
Q110168553,Governor of the Bank of Mongolia,Q711,,,,,,,,
Q65048983,Chief of General Staff of Mongolia,,Q711,,,,,,,Chief of General Staff (Mongolia)
