position,person,personID,start,end
President,Natsagiin Bagabandi,Q334679,1997-06-20,2005-06-24
President,Nambaryn Enkhbayar,Q54820,2005-06-24,2009-06-18
President,Tsakhiagiin Elbegdorj,Q57421,2009-06-18,2017-07-10
President,Khaltmaagiin Battulga,Q9122260,2017-07-10,2021-06-25
President,Khurelsukh Ukhnaa,Q27058418,2021-07-10,
Prime Minister,Rinchinnyamyn Amarjargal,Q1393569,1999-07-30,2000-07-26
Prime Minister,Nambaryn Enkhbayar,Q54820,2000-07-26,2004-08-20
Prime Minister,Tsakhiagiin Elbegdorj,Q57421,2004-08-20,2006-01-13
Prime Minister,Miyeegombyn Enkhbold,Q558683,2006-01-25,2007-11-22
Prime Minister,Sanjaagiin Bayar,Q372131,2009-10-29,2012-08-10
Prime Minister,Sükhbaataryn Batbold,Q372202,2009-10-29,2012-08-10
Prime Minister,Norovyn Altankhuyag,Q57888,2012-08-10,2014-11-04
Prime Minister,Dendeviin Terbishdagva,Q23061846,2014-10-05,2014-11-21
Prime Minister,Dendev Terbishdagva,Q9318440,2014-11-06,2014-11-20
Prime Minister,Chimediin Saikhanbileg,Q15934317,2014-11-21,2016-07-07
Prime Minister,Jargaltulga Erdenebat,Q25848773,2016-06-08,2017-10-04
Prime Minister,Khurelsukh Ukhnaa,Q27058418,2017-10-04,2021-01-21
Prime Minister,Oyunerdene Luvsannamsrai,Q24248226,2021-01-27,
Deputy Prime Minister,Khurelsukh Ukhnaa,Q27058418,2014-12-10,2015-08-06
Deputy Prime Minister,Khurelsukh Ukhnaa,Q27058418,2016-07-23,2017-10-04
Deputy Prime Minister,Olziisaikhan Enkhtuvshin,Q3351752,2017-10-18,2020-07-08
Deputy Prime Minister,Sainbuyan Amarsaikhan,Q110168680,2021-01-29,
Minister of Construction and Urban Development,Khaltmaagiin Battulga,Q9122260,2008,2012
Minister of Construction and Urban Development,Munkhbaatar Begzjav,Q110168485,2021-01-29,
Minister of Culture,Nomin Chinbat,Q25632553,2021-01-29,
Minister of Defence,Badmaanyambuugiin Bat-Erdene,Q4841019,2016-07-23,2017-10-20
Minister of Defence,Nyamaagiin Enkhbold,Q3346574,2017-10-19,2020-07-08
Minister of Defence,Gürsediin Saikhanbayar,Q107000988,2020-07-08,
Minister of Education,Olziisaikhan Enkhtuvshin,Q3351752,2006,2007
Minister of Education,Ёндонпэрэнлэйн Баатарбилэг,Q110168270,2019-02-04,2020-07-08
Minister of Education,Lkhagvagiin Tsedevsuren,Q98116742,2020-07-08,2021-01-29
Minister of Education,Enkh-Amgalan Luvsantseren,Q24174849,2021-01-29,
Minister of Energy,Chimediin Khürelbaatar,Q110167847,2007-11,2008-09-22
Minister of Energy,Nansalyn Tavinbekh,Q110168519,2021-01-29,
Minister of Finance,Yansanjavyn Ochirsükh,Q113115129,1999,2000
Minister of Finance,Chültemiin Ulaan,Q9299563,2000,2004
Minister of Finance,Norovyn Altankhuyag,Q57888,2004,2006
Minister of Finance,Nadmidyn Bayartsaikhan,Q9325409,2006,2007
Minister of Finance,Chültemiin Ulaan,Q9299563,2007,2008
Minister of Finance,Sangajavyn Bayartsogt,Q9297131,2008,2012
Minister of Finance,Chültemiin Ulaan,Q9299563,2012,2014
Minister of Finance,Jargaltulga Erdenebat,Q25848773,2014,2015
Minister of Finance,Bayarbaataryn Bolor,Q110943350,2015,2016
Minister of Finance,Battogtokhyn Choijilsüren,Q110943341,2016,2017
Minister of Finance,Chimediin Khürelbaatar,Q110167847,2017-10-18,2021-01-29
Minister of Finance,Boldyn Javkhlan,Q25632960,2021-01-29,
"Minister of Food, Agriculture and Light Industry",Mendsaikhan Zagdjav,Q110168503,2021-01-29,
Minister of Foreign Affairs,Nyam-Osoryn Tuyaa,Q541239,1998,2000
