@@,name,position
---,Zandaakhüügiin Enkhbold,Head of President's Office of Mongolia
---,Yondon Gelen,Minister of Mining and Heavy Industry
---,Tsendiin Nyamdorj,Chief Cabinet Secretary
---,Sainbuyan Amarsaikhan,Deputy Prime Minister of Mongolia
---,Oyunerdene Luvsannamsrai,Prime Minister of Mongolia
---,Nyamjav Urtnasan,"Minister of Nature, Environment and Tourism"
---,Nomin Chinbat,Minister of Culture
---,Nansalyn Tavinbekh,Minister of Energy
---,Munkhbaatar Begzjav,Minister of Construction and Urban Development
---,Mendsaikhan Zagdjav,"Minister of Food, Agriculture and Light Industry"
---,Lusvan Khaltar,Minister of Road and Transport Development
---,Khishigeegiin Nyambaatar,Minister of Justice and Internal Affairs
---,Gürsediin Saikhanbayar,Minister of Defense of Mongolia
---,Enkhbold Sereejav,Minister of Health of Mongolia
---,Enkh-Amgalan Luvsantseren,"Minister of Education, Culture, and Science"
---,Boldyn Javkhlan,Minister of Finance
---,Batmunkh Battsetseg,Minister of Foreign Affairs (Mongolia)
---,Ayush Ariunzaya,Minister of Labour and Social Welfare
